"ID","Achieve","ImmYear","ImmAge","English","Mex"
"1",59.2,77.7,9.6,1,1
"2",63.7,65.8,1.1,1,1
"3",62.4,63.6,6.1,0,1
"4",46.8,55.3,2.1,1,1
"5",67.6,73.1,2.3,1,1
"6",63.1,75.7,8.4,1,0
"7",63.7,72,4.9,0,1
"8",63.1,69.9,5.2,1,1
"9",67.6,63.9,12.7,1,1
"10",30.6,77.5,9.2,0,1
"11",39,72.2,9.4,1,1
"12",46.2,81.6,8.7,1,0
"13",39,59,10.5,0,1
"14",57.9,72.3,1.4,0,1
"15",37.1,80.2,10.5,1,1
"16",66.3,72.9,5.1,1,0
"17",65.7,78.9,7.6,1,1
"18",83.2,67.7,1.7,1,1
"19",87.8,71.6,3.4,1,0
"20",57.2,44.3,1.7,1,1
"21",54.6,70.6,6,1,1
"22",37.1,20.6,6.1,1,1
"23",67.6,69.7,8.9,1,1
"24",43.6,76,8.3,1,1
"25",57.2,74.5,11.4,0,1
"26",56.6,64.8,11.8,1,1
"27",65,68.1,7.2,1,1
"28",27.3,72.6,12.6,1,1
"29",51.4,66.5,4.2,0,1
"30",67,74.7,4.4,1,1
"31",62.4,70.7,1.9,1,1
"32",54.6,79.1,5.3,1,0
"33",59.2,72,4.6,1,0
"34",69.6,53.9,8.2,1,1
"35",80.6,60.8,3,1,0
"36",57.9,81.5,7.8,0,0
"37",69.6,76.7,6.2,1,0
"38",58.5,76,8.2,1,0
"39",64.4,80.8,6.1,0,1
"40",48.1,71.2,1.1,1,1
"41",81.3,80.7,12.2,0,1
"42",67,81.3,12.8,0,0
"43",68.9,79.4,7.8,1,1
"44",65.7,60.7,9.7,1,1
"45",79.3,74.5,6.8,1,1
"46",61.8,69.8,9.3,1,1
"47",67,83.3,11.1,1,0
"48",57.2,75.9,12,1,1
"49",89.7,54.1,3.5,1,1
"50",63.1,74.6,6.1,1,1
"51",52,75.1,4.3,1,1
"52",80,81.4,8.9,1,0
"53",61.1,79.3,11.7,1,1
"54",44.9,75.8,7.8,1,1
"55",74.1,76.2,12.2,1,1
"56",45.5,65.3,12.5,0,0
"57",60.5,70.3,12.3,1,1
"58",70.9,48.2,4.3,1,1
"59",47.5,67.7,0,1,1
"60",65,67.4,0.9,1,1
"61",68.3,60.2,5.3,1,1
"62",52,83.4,9.3,0,1
"63",53.3,75.7,12.2,0,1
"64",85.2,70,1,1,1
"65",71.5,72.8,3.6,1,1
"66",26.7,80.8,12.3,0,1
"67",70.2,64,4,1,1
"68",59.2,77.8,7.3,1,1
"69",47.5,80.4,7,1,1
"70",40.3,73.8,8.3,1,1
"71",70.2,61.5,1.8,1,0
"72",58.5,65.7,11,0,1
"73",26.7,15.3,0.4,1,1
"74",58.5,69.4,4.4,0,1
"75",45.5,70.5,5.7,1,1
"76",69.6,67.3,12.2,1,0
"77",66.3,62.1,9.2,1,1
"78",67.6,68.9,1.3,1,0
"79",60.5,78.7,5.9,1,0
"80",59.2,81.7,9.9,0,0
"81",54.6,53.6,5.4,1,1
"82",76.1,81.7,7.5,1,0
"83",24.7,37.2,0.7,0,1
"84",61.8,75.3,2.8,1,0
"85",81.3,68.1,3.6,1,1
"86",65.7,64.5,1.7,1,0
"87",52,75.1,2.6,0,1
"88",64.4,44.1,4.4,0,1
"89",73.5,73.7,0.3,1,1
"90",70.2,77.8,4.7,1,1
"91",63.1,49.5,6.8,0,1
"92",21.5,71.2,9,0,1
"93",28,70.6,8.1,0,1
"94",67.6,64.7,8.6,0,1
"95",68.9,77.5,5.4,0,1
"96",39.7,72.6,9.7,0,1
"97",55.9,75.9,1,1,1
"98",61.8,72.9,7.1,1,1
"99",36.4,28.7,6.9,1,1
"100",60.5,77.2,5,1,1
"101",59.8,55.2,4.6,1,1
"102",70.2,80.4,6.3,1,0
"103",68.9,70.6,2.8,1,1
"104",52.7,70.7,10.9,0,1
"105",55.9,73,5.7,1,0
"106",49.4,43.4,3.6,0,1
"107",63.1,70.1,4.6,1,1
"108",59.2,77.9,12.8,0,1
"109",60.5,80.2,6.6,1,1
"110",39.7,74.6,2.2,1,0
"111",26.7,79.2,7.7,0,1
"112",63.7,80.4,12.7,0,1
"113",79.3,75.1,8.8,1,1
"114",30.6,78.2,11.6,0,1
"115",50.1,76.9,3.6,1,1
"116",82.6,68.9,4.9,1,0
"117",29.3,68.2,7.4,1,0
"118",82.6,80.5,7.7,1,0
"119",29.9,69.4,10.4,1,1
"120",68.3,65.8,4.5,1,1
"121",31.2,79.2,11,0,1
"122",60.5,69.7,11.7,1,1
"123",69.6,82.2,10.1,1,1
"124",68.3,61.3,1.3,1,0
"125",68.9,78.2,10.2,1,1
"126",69.6,65.9,5,1,1
"127",80,76.2,2.4,1,1
"128",60.5,76.5,5.4,1,1
"129",73.5,82.1,8.9,0,1
"130",50.1,79.9,10.6,1,1
"131",52.7,54,3.9,1,1
"132",31.9,49.9,12.9,0,1
"133",59.2,78.1,10.1,1,1
"134",52.7,70.8,2.2,1,1
"135",63.7,79,6.3,1,1
"136",66.3,82.6,10,0,1
"137",85.8,76.2,5.9,1,1
"138",64.4,65.3,3.5,1,1
"139",82.6,71.6,7.4,1,1
"140",83.9,81.4,8.6,1,1
"141",70.2,78.2,12.1,1,0
"142",70.9,63.8,0.5,1,1
"143",45.5,71.9,8.8,1,0
"144",96.2,57.5,0.8,1,1
"145",76.1,79.4,9.9,1,1
"146",70.2,62.8,5.5,1,0
"147",41.6,70.7,0.8,0,1
"148",70.2,82,10.4,1,1
"149",63.1,56.6,1.2,1,0
"150",81.9,66,0.7,1,0
