screen_name,user_id,created_at,status_id,text,retweet_count,favorite_count,is_quote_status,quote_status_id,is_retweet,retweet_status_id,in_reply_to_status_status_id,in_reply_to_status_user_id,in_reply_to_status_screen_name,lang,source,media_id,media_url,media_url_expanded,urls,urls_display,urls_expanded,mentions_screen_name,mentions_user_id,symbols,hashtags,coordinates,place_id,place_type,place_name,place_full_name,country_code,country,bounding_box_coordinates,bounding_box_type
mayoredlee,234489403,2017-11-09T22:50:42Z,928756761581850624,Thank you to all the dedicated City employees who worked hard today to move people out of tents &amp; into stable livin… https://t.co/4MJ68D3YsX,1,9,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928756761581850624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-09T19:27:42Z,928705676976668672,.@JeffSheehySF and I took to the streets of Castro today to clen up leaves and debris and help beautify the neighbo… https://t.co/KE3Ppfz8y3,5,10,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928705676976668672,jeffsheehysf,634018951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-09T19:00:05Z,928698728608759808,"@JanetLamkin @united With fewer than 5% of women in executive position in the airline industry, your appointment is… https://t.co/tuMzwirPJM",0,0,FALSE,NA,FALSE,NA,928698469606342656,234489403,mayoredlee,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928698728608759808,JanetLamkin united,2896029283 260907612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-09T18:59:04Z,928698469606342656,Congrats @JanetLamkin for stepping into the 🛫 flight deck 🛬 to direct #CA through @United's friendly skies as their… https://t.co/N30kU1z2L0,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928698469606342657,JanetLamkin united,2896029283 260907612,NA,CA,NA,5a110d312052166f,city,San Francisco,"San Francisco, CA",US,United States,-122.514926 -122.357031 -122.357031 -122.514926 37.708075 37.708075 37.833238 37.833238,Polygon
mayoredlee,234489403,2017-11-09T01:19:25Z,928431800661110784,"With rain ☔️ in the forecast for this evening, make sure to clean up leaves and debris from your storm drains to pr… https://t.co/PYt8AlCjlk",9,19,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928431800661110784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-09T01:15:47Z,928430887363948544,The Admin continues to attack the #ACA. Now is the time to proactively protect our health &amp; #GetCovered.… https://t.co/hiLXVe7LmN,1,3,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928430887363948545,NA,NA,NA,ACA GetCovered,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-08T23:00:12Z,928396767506284544,"The GOP's tax plan hurts middle-class families &amp; reduces important funding measures for cities like #SF. 
https://t.co/MBDUKUJnWP",0,4,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,medium.com/@mayoredlee/wa…,https://medium.com/@mayoredlee/washington-d-c-tax-policies-will-harm-california-families-d89832a680ee,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-08T21:10:59Z,928369282005663744,Golf City USA -- proud that #SF's @TheOlympicClub will host @PGA championship in 2028 and @RyderCupUSA in 2032. https://t.co/ORqeG1YvM0,8,26,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,928369273738747904,http://pbs.twimg.com/media/DOI6742V4AAvd5O.jpg,https://twitter.com/mayoredlee/status/928369282005663744/photo/1,NA,NA,NA,TheOlympicClub PGA RyderCupUSA,106848700 21014439 237822256,NA,SF,NA,07d9db133f888001,poi,Olympic Club Golf Course,Olympic Club Golf Course,US,United States,-122.494833469391 -122.494833469391 -122.494833469391 -122.494833469391 37.7082866602736 37.7082866602736 37.7082866602736 37.7082866602736,Polygon
mayoredlee,234489403,2017-11-08T19:47:31Z,928348277417787392,"Congrats @pwcdanica on your historical win last night! This is a strong step forward for our nation, transgender in… https://t.co/lBuorwjJ5O",6,19,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928348277417787393,pwcdanica,169586297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mayoredlee,234489403,2017-11-08T18:53:32Z,928334689907097600,"Now more than ever, we need the spirit of #HarveyMilk, as the civil rights for the #LGBTQ community are under attac… https://t.co/UtGdgRMQF8",2,9,FALSE,NA,FALSE,NA,928333638525005824,234489403,mayoredlee,en,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/928334689907097605,NA,NA,NA,HarveyMilk LGBTQ,NA,NA,NA,NA,NA,NA,NA,NA,NA
