year,age,maritl,race,education,region,jobclass,health,health_ins,salario_alto
2006,18,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,24,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,45,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,43,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,50,Divorced,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2008,54,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,44,Married,Other,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,30,Never Married,Asian,Some College,Middle Atlantic,Information,<=Good,Yes,No
2006,41,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,52,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,45,Divorced,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2007,34,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,35,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,39,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,54,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,51,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,37,Never Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,50,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2007,56,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,37,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,38,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2005,40,Divorced,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,75,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,40,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2006,38,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,49,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,43,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,34,Married,Other,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,57,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2003,18,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,55,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,51,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,33,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2005,34,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,36,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,56,Never Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,No
2006,70,Never Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,25,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,32,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2003,27,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,28,Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,27,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,43,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,50,Never Married,Other,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,39,Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2008,52,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,35,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,57,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,25,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,33,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2005,57,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2008,71,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,43,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,23,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2009,30,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2004,22,Never Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,59,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2003,28,Never Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,61,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,34,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,43,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,54,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,69,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,41,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2003,48,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,49,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,42,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,37,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,55,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,21,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,58,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,31,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,32,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,40,Never Married,Black,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,44,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,No
2003,60,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,23,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,63,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2008,44,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,47,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2004,61,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,55,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,No
2003,24,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,42,Widowed,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,25,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
